Date,Region,Sales Rep,Customer,Product,COGS,Sales
2/6/2006,MidWest,Rhonda,McLendon's Hardware,DLN Item,"$7,334.86 ","$7,844.77 "
2/1/2006,MidWest,Jeri,Peet's Coffee,PED Item,"$4,422.45 ","$6,503.61 "
1/27/2006,MidWest,Chin,Sherman Williams,CZM Item,"$6,011.98 ","$6,429.93 "
1/9/2006,MidWest,Troung,Nature Company,VMA Item,"$7,340.29 ","$7,850.58 "
12/16/2005,MidWest,Luke,Costco,QDR Item,"$3,978.19 ","$6,858.94 "
12/4/2005,MidWest,Steven,Home Depot,RTF Item,"$2,741.01 ","$6,091.14 "
11/2/2005,MidWest,Sheliadawn,McLendon's Hardware,NIV Item,"$5,180.14 ","$7,617.85 "
11/1/2005,MidWest,Troung,Office Depot,KAI Item,"$4,805.89 ","$7,067.48 "
10/28/2005,MidWest,Jon,Solar and Wind Inc.,VMC Item,"$4,705.07 ","$6,273.43 "
10/27/2005,MidWest,Rhonda,The Economist,DNA Item,"$6,349.59 ","$7,215.44 "
10/18/2005,MidWest,Jon,Amazon.com,PDH Item,"$3,776.43 ","$6,511.09 "
9/25/2005,MidWest,Chin,Whole Foods,VPL Item,"$5,781.82 ","$7,709.09 "
9/6/2005,MidWest,Luke,Peet's Coffee,HMK Item,"$4,294.03 ","$6,314.75 "
8/28/2005,MidWest,Sheliadawn,The Economist,WEW Item,"$5,349.44 ","$7,866.83 "
8/9/2005,MidWest,Sheliadawn,Peet's Coffee,GTP Item,"$4,070.64 ","$6,899.39 "
7/27/2005,MidWest,Jeri,Solar and Wind Inc.,GLY Item,"$5,352.97 ","$6,082.92 "
7/23/2005,MidWest,Jeri,Whole Foods,JRV Item,"$5,299.46 ","$7,793.32 "
7/18/2005,MidWest,Chin,Yahoo,CVY Item,"$4,445.83 ","$7,665.23 "
7/17/2005,MidWest,Jon,Office Depot,IDZ Item,"$5,375.15 ","$6,108.12 "
6/25/2005,MidWest,Jeri,The Economist,SYE Item,"$3,633.50 ","$6,606.36 "
6/7/2005,MidWest,Jon,Amazon.com,RCC Item,"$2,763.33 ","$6,140.73 "
6/6/2005,MidWest,Troung,Whole Foods,SUK Item,"$3,305.37 ","$7,345.26 "
5/21/2005,MidWest,Rhonda,Amazon.com,SMI Item,"$4,149.35 ","$7,544.27 "
5/14/2005,MidWest,Jon,Yahoo,MXO Item,"$4,029.06 ","$6,828.92 "
5/7/2005,MidWest,Steven,ExcelIsVeryFun.com,DQS Item,"$3,897.72 ","$7,086.76 "
4/28/2005,MidWest,Jeri,McLendon's Hardware,NBV Item,"$6,469.43 ","$6,919.18 "
4/20/2005,MidWest,Troung,Costco,KXJ Item,"$4,501.76 ","$6,002.34 "
4/16/2005,MidWest,Jon,Amazon.com,ESQ Item,"$5,199.76 ","$6,933.01 "
4/4/2005,MidWest,Rhonda,Google,QZW Item,"$5,896.50 ","$6,700.57 "
4/1/2005,MidWest,Rhonda,The Economist,QSA Item,"$6,032.36 ","$6,451.72 "
3/29/2005,MidWest,Steven,Google,UMR Item,"$5,290.05 ","$7,053.40 "
3/13/2005,MidWest,Steven,Whole Foods,ABB Item,"$3,604.66 ","$6,553.92 "
3/7/2005,MidWest,Jon,Costco,VTQ Item,"$4,069.88 ","$7,399.78 "
2/18/2005,MidWest,Chin,Whole Foods,FKD Item,"$2,924.24 ","$6,800.55 "
2/11/2005,MidWest,Troung,ExcelIsVeryFun.com,VMC Item,"$4,673.31 ","$7,920.86 "
1/22/2005,MidWest,Chin,Home Depot,IND Item,"$2,673.24 ","$6,216.84 "
1/14/2005,MidWest,Steven,McLendon's Hardware,LXS Item,"$6,385.73 ","$6,829.66 "
1/9/2005,MidWest,Sheliadawn,Amazon.com,WHT Item,"$5,832.70 ","$6,628.07 "
1/7/2005,MidWest,Troung,Costco,MUQ Item,"$2,486.46 ","$6,720.15 "
12/25/2004,MidWest,Sheliadawn,Nature Company,KKF Item,"$3,344.00 ","$7,431.10 "
12/21/2004,MidWest,Steven,Whole Foods,EXU Item,"$2,432.74 ","$6,574.96 "
12/16/2004,MidWest,Rhonda,Yahoo,FZK Item,"$4,145.58 ","$7,026.41 "
12/9/2004,MidWest,Jeri,Google,SZW Item,"$2,607.70 ","$6,064.43 "
12/2/2004,MidWest,Troung,McLendon's Hardware,IUU Item,"$2,965.04 ","$6,895.44 "
11/29/2004,MidWest,Jeri,Home Depot,EEE Item,"$2,682.03 ","$6,237.27 "
10/16/2004,MidWest,Luke,Solar and Wind Inc.,XVI Item,"$4,250.16 ","$7,327.87 "
10/7/2004,MidWest,Luke,Nature Company,AMV Item,"$4,574.79 ","$6,727.63 "
10/5/2004,MidWest,Troung,The Economist,JPT Item,"$2,580.17 ","$6,000.40 "
10/2/2004,MidWest,Sheliadawn,Peet's Coffee,RRN Item,"$7,266.91 ","$7,772.10 "
10/2/2004,MidWest,Jeri,Costco,CLS Item,"$6,662.83 ","$7,126.02 "
9/30/2004,MidWest,Jon,Office Depot,ZYT Item,"$6,348.09 ","$6,789.40 "
9/26/2004,MidWest,Jon,Whole Foods,ARL Item,"$3,590.77 ","$6,528.67 "
9/6/2004,MidWest,Steven,Solar and Wind Inc.,XKP Item,"$5,481.77 ","$6,229.28 "
9/4/2004,MidWest,Jon,Yahoo,IAG Item,"$5,988.93 ","$7,985.24 "
8/30/2004,MidWest,Rhonda,Peet's Coffee,JYF Item,"$3,931.98 ","$6,779.28 "
8/18/2004,MidWest,Troung,Google,ZQU Item,"$4,844.08 ","$7,123.64 "
8/17/2004,MidWest,Luke,Home Depot,YHI Item,"$3,418.54 ","$6,215.52 "
7/30/2004,MidWest,Rhonda,Nature Company,IRA Item,"$6,831.51 ","$7,306.43 "
7/15/2004,MidWest,Rhonda,Yahoo,UXX Item,"$4,614.51 ","$6,786.04 "
6/24/2004,MidWest,Troung,Home Depot,ULM Item,"$6,180.38 ","$6,610.03 "
6/10/2006,MidWest,Chin,Home Depot,OSX Item,"$2,336.40 ","$5,433.48 "
5/30/2006,MidWest,Rhonda,Sherman Williams,BSY Item,"$4,190.13 ","$4,761.51 "
5/18/2006,MidWest,Luke,Whole Foods,WBE Item,"$3,489.65 ","$4,652.87 "
5/9/2006,MidWest,Luke,Home Depot,BQD Item,"$4,285.18 ","$5,713.57 "
5/8/2006,MidWest,Chin,Costco,VGC Item,"$1,834.05 ","$4,956.88 "
4/29/2006,MidWest,Jon,Solar and Wind Inc.,SUD Item,"$3,196.62 ","$5,511.41 "
4/23/2006,MidWest,Troung,Peet's Coffee,JXE Item,"$1,673.64 ","$4,523.34 "
4/18/2006,MidWest,Luke,Amazon.com,VWP Item,"$2,322.14 ","$4,222.07 "
4/16/2006,MidWest,Jeri,Nature Company,XCF Item,"$2,521.95 ","$5,865.01 "
4/13/2006,MidWest,Jeri,Office Depot,JXI Item,"$5,416.99 ","$5,793.57 "
4/10/2006,MidWest,Sheliadawn,Yahoo,WLI Item,"$2,373.28 ","$4,091.86 "
3/25/2006,MidWest,Jon,The Economist,AVS Item,"$4,543.46 ","$4,859.32 "
3/23/2006,MidWest,Troung,Whole Foods,MCN Item,"$3,132.06 ","$5,694.65 "
3/19/2006,MidWest,Sheliadawn,Sherman Williams,FYG Item,"$3,434.03 ","$4,578.70 "
3/10/2006,MidWest,Rhonda,Solar and Wind Inc.,XSQ Item,"$4,378.34 ","$4,682.72 "
3/2/2006,MidWest,Steven,ExcelIsVeryFun.com,HUA Item,"$1,850.77 ","$4,112.83 "
1/27/2006,MidWest,Rhonda,The Economist,MVI Item,"$4,128.83 ","$5,505.10 "
1/16/2006,MidWest,Jeri,ExcelIsVeryFun.com,VRL Item,"$3,206.48 ","$5,528.41 "
1/9/2006,MidWest,Jeri,Google,PNA Item,"$2,070.56 ","$5,596.10 "
12/27/2005,MidWest,Chin,Sherman Williams,SWI Item,"$2,325.65 ","$5,168.11 "
12/25/2005,MidWest,Steven,McLendon's Hardware,UVW Item,"$3,106.86 ","$4,142.48 "
12/23/2005,MidWest,Chin,Solar and Wind Inc.,FWO Item,"$4,489.32 ","$5,985.76 "
12/19/2005,MidWest,Steven,Home Depot,JRS Item,"$2,986.31 ","$4,391.63 "
11/16/2005,MidWest,Rhonda,Google,EKY Item,"$5,142.92 ","$5,500.45 "
11/6/2005,MidWest,Luke,Amazon.com,DWD Item,"$3,078.67 ","$4,527.45 "
10/28/2005,MidWest,Chin,Amazon.com,WXR Item,"$2,714.01 ","$4,600.01 "
9/6/2005,MidWest,Sheliadawn,Nature Company,SHW Item,"$3,853.06 ","$4,120.92 "
9/3/2005,MidWest,Steven,Home Depot,FSZ Item,"$3,514.28 ","$5,168.06 "
8/22/2005,MidWest,Jeri,Home Depot,GPH Item,"$4,442.32 ","$5,923.09 "
8/20/2005,MidWest,Steven,The Economist,UGE Item,"$2,368.06 ","$5,507.11 "
8/13/2005,MidWest,Steven,Solar and Wind Inc.,QPM Item,"$2,645.06 ","$5,877.92 "
8/9/2005,MidWest,Chin,Whole Foods,TLW Item,"$3,580.69 ","$4,774.25 "
7/3/2005,MidWest,Steven,ExcelIsVeryFun.com,EPQ Item,"$1,598.17 ","$4,319.39 "
6/27/2005,MidWest,Sheliadawn,ExcelIsVeryFun.com,LCU Item,"$3,976.60 ","$4,518.86 "
6/11/2005,MidWest,Jon,McLendon's Hardware,UBQ Item,"$2,170.67 ","$4,823.72 "
6/7/2005,MidWest,Rhonda,Yahoo,IAY Item,"$4,825.25 ","$5,483.24 "
6/7/2005,MidWest,Troung,McLendon's Hardware,VRL Item,"$3,612.19 ","$5,312.05 "
6/2/2005,MidWest,Jon,Office Depot,HNW Item,"$4,484.90 ","$5,096.48 "
5/29/2005,MidWest,Jeri,Home Depot,BMC Item,"$3,938.10 ","$4,211.87 "
5/20/2005,MidWest,Jeri,Amazon.com,MSL Item,"$2,929.71 ","$4,308.40 "
5/16/2005,MidWest,Rhonda,Yahoo,HXF Item,"$2,000.28 ","$4,651.82 "
4/27/2005,MidWest,Troung,Home Depot,ICQ Item,"$3,027.87 ","$4,452.75 "
4/4/2005,MidWest,Rhonda,The Economist,EYG Item,"$3,918.36 ","$4,452.68 "
3/5/2005,MidWest,Sheliadawn,Costco,HMD Item,"$3,412.38 ","$5,883.42 "
3/4/2005,MidWest,Luke,ExcelIsVeryFun.com,YAK Item,"$5,245.71 ","$5,610.38 "
2/17/2005,MidWest,Rhonda,Peet's Coffee,AOB Item,"$3,002.01 ","$4,414.72 "
2/11/2005,MidWest,Jeri,Solar and Wind Inc.,HGT Item,"$3,639.02 ","$4,852.02 "
1/27/2005,MidWest,Chin,Costco,ARS Item,"$3,576.37 ","$4,064.06 "
1/21/2005,MidWest,Chin,McLendon's Hardware,KGB Item,"$1,883.75 ","$5,091.21 "
1/16/2005,MidWest,Jeri,Office Depot,DIS Item,"$2,476.40 ","$5,759.06 "
1/14/2005,MidWest,Chin,Costco,QRV Item,"$2,674.67 ","$4,863.04 "
1/12/2005,MidWest,Troung,Yahoo,AMO Item,"$2,118.48 ","$5,725.61 "
1/4/2005,MidWest,Steven,McLendon's Hardware,PBJ Item,"$2,681.84 ","$4,623.86 "
12/17/2004,MidWest,Steven,Yahoo,WIP Item,"$3,075.82 ","$5,592.40 "
12/14/2004,MidWest,Luke,Nature Company,PZB Item,"$2,046.63 ","$4,548.07 "
11/29/2004,MidWest,Jeri,Yahoo,XAQ Item,"$2,669.40 ","$5,932.00 "
11/28/2004,MidWest,Troung,Amazon.com,CIU Item,"$2,143.98 ","$4,764.40 "
11/13/2004,MidWest,Chin,ExcelIsVeryFun.com,BDN Item,"$3,755.38 ","$4,267.48 "
11/7/2004,MidWest,Sheliadawn,Yahoo,OMP Item,"$2,972.24 ","$4,370.94 "
10/17/2004,MidWest,Chin,Costco,GSK Item,"$4,316.71 ","$4,616.80 "
9/24/2004,MidWest,Jon,Whole Foods,ILP Item,"$2,982.53 ","$5,422.79 "
9/12/2004,MidWest,Jeri,Nature Company,VRD Item,"$3,673.27 ","$4,174.17 "
8/29/2004,MidWest,Steven,Solar and Wind Inc.,YFB Item,"$1,775.84 ","$4,129.85 "
7/26/2004,MidWest,Troung,Amazon.com,HGB Item,"$3,913.94 ","$5,218.59 "
7/8/2004,MidWest,Jeri,Nature Company,XKR Item,"$3,708.54 ","$4,944.72 "
6/27/2004,MidWest,Sheliadawn,ExcelIsVeryFun.com,DWS Item,"$1,990.16 ","$5,378.82 "
6/6/2006,MidWest,Chin,Yahoo,BMF Item,"$1,701.54 ","$2,883.97 "
5/11/2006,MidWest,Chin,Costco,VYV Item,"$3,545.62 ","$3,792.11 "
4/29/2006,MidWest,Jon,Whole Foods,VJO Item,"$2,714.37 ","$3,991.72 "
4/12/2006,MidWest,Rhonda,Peet's Coffee,PDI Item,$987.83 ,"$2,195.18 "
4/5/2006,MidWest,Steven,Peet's Coffee,FEP Item,"$1,451.01 ","$3,921.64 "
4/4/2006,MidWest,Chin,Sherman Williams,HRL Item,"$1,961.48 ","$2,615.31 "
4/3/2006,MidWest,Jeri,Solar and Wind Inc.,KBV Item,"$3,714.32 ","$3,972.53 "
3/28/2006,MidWest,Sheliadawn,Peet's Coffee,NOC Item,"$1,539.53 ","$3,580.31 "
3/26/2006,MidWest,Troung,Yahoo,KMU Item,"$2,675.93 ","$3,567.91 "
3/26/2006,MidWest,Jon,ExcelIsVeryFun.com,KRH Item,"$1,404.55 ","$2,421.63 "
3/15/2006,MidWest,Jeri,Amazon.com,PMB Item,"$3,260.00 ","$3,704.55 "
3/6/2006,MidWest,Rhonda,Office Depot,YHJ Item,$925.96 ,"$2,057.69 "
3/1/2006,MidWest,Steven,Amazon.com,BQS Item,"$1,049.87 ","$2,837.49 "
2/19/2006,MidWest,Troung,Office Depot,HUJ Item,$949.52 ,"$2,110.04 "
2/10/2006,MidWest,Rhonda,Home Depot,LYS Item,"$1,088.69 ","$2,531.84 "
2/7/2006,MidWest,Jon,Home Depot,DPA Item,"$2,895.18 ","$3,096.45 "
2/4/2006,MidWest,Chin,Costco,YUO Item,"$1,465.09 ","$2,526.02 "
1/24/2006,MidWest,Troung,Solar and Wind Inc.,BYD Item,"$1,149.09 ","$2,672.30 "
1/19/2006,MidWest,Steven,Peet's Coffee,MWR Item,"$1,247.74 ","$3,372.28 "
1/8/2006,MidWest,Jeri,McLendon's Hardware,PQV Item,"$1,201.94 ","$2,795.22 "
1/5/2006,MidWest,Rhonda,Peet's Coffee,LWH Item,"$3,128.83 ","$3,346.34 "
12/28/2005,MidWest,Chin,The Economist,DTW Item,"$1,774.54 ","$3,007.69 "
11/24/2005,MidWest,Chin,Office Depot,WBX Item,"$3,276.40 ","$3,504.17 "
10/28/2005,MidWest,Steven,Google,FRX Item,"$2,044.35 ","$2,186.47 "
10/26/2005,MidWest,Steven,Sherman Williams,IOP Item,"$1,691.97 ","$2,867.75 "
10/3/2005,MidWest,Steven,Sherman Williams,ILS Item,"$1,461.23 ","$3,949.28 "
9/27/2005,MidWest,Jeri,Peet's Coffee,WXR Item,"$2,648.42 ","$3,894.74 "
8/16/2005,MidWest,Jon,McLendon's Hardware,DXS Item,"$1,983.90 ","$3,420.52 "
8/9/2005,MidWest,Jeri,Solar and Wind Inc.,JFK Item,"$1,327.12 ","$3,586.82 "
8/6/2005,MidWest,Jeri,Google,DMU Item,$769.61 ,"$2,080.04 "
7/27/2005,MidWest,Jeri,McLendon's Hardware,UTT Item,"$1,468.23 ","$2,488.53 "
7/9/2005,MidWest,Steven,The Economist,MTL Item,"$3,730.96 ","$3,990.33 "
6/27/2005,MidWest,Rhonda,Home Depot,RFR Item,"$1,074.69 ","$2,904.57 "
6/24/2005,MidWest,Sheliadawn,ExcelIsVeryFun.com,XJT Item,"$3,189.35 ","$3,411.07 "
6/19/2005,MidWest,Chin,ExcelIsVeryFun.com,PBQ Item,"$1,521.45 ","$3,538.26 "
6/10/2005,MidWest,Jeri,The Economist,HGY Item,"$1,411.17 ","$3,281.80 "
5/22/2005,MidWest,Sheliadawn,Google,FEP Item,"$1,444.06 ","$3,902.86 "
5/7/2005,MidWest,Luke,Home Depot,NEJ Item,"$2,608.94 ","$2,964.70 "
4/10/2005,MidWest,Jeri,Whole Foods,TVX Item,"$2,059.29 ","$3,490.33 "
4/4/2005,MidWest,Luke,Office Depot,WVS Item,"$1,455.00 ","$2,645.45 "
4/1/2005,MidWest,Jon,Amazon.com,SQN Item,"$1,506.99 ","$2,739.98 "
3/23/2005,MidWest,Rhonda,Costco,MKA Item,$944.41 ,"$2,552.46 "
3/23/2005,MidWest,Steven,Sherman Williams,SOJ Item,"$1,264.97 ","$2,144.02 "
3/17/2005,MidWest,Luke,Yahoo,WOW Item,"$1,445.64 ","$3,907.13 "
3/13/2005,MidWest,Sheliadawn,Peet's Coffee,QRF Item,"$1,126.15 ","$2,618.96 "
3/1/2005,MidWest,Chin,Home Depot,DEW Item,"$1,363.14 ","$2,004.62 "
2/23/2005,MidWest,Steven,Google,JVF Item,$924.27 ,"$2,498.04 "
2/19/2005,MidWest,Jon,Costco,QKE Item,"$2,891.06 ","$3,285.29 "
2/16/2005,MidWest,Troung,Solar and Wind Inc.,YNQ Item,"$1,982.48 ","$2,252.82 "
2/8/2005,MidWest,Jon,Google,WWB Item,"$1,936.76 ","$2,582.35 "
2/6/2005,MidWest,Steven,McLendon's Hardware,XTY Item,"$1,615.62 ","$3,757.25 "
1/25/2005,MidWest,Chin,Sherman Williams,BPZ Item,"$3,148.53 ","$3,577.87 "
1/24/2005,MidWest,Rhonda,ExcelIsVeryFun.com,CTB Item,"$2,303.43 ","$3,387.39 "
1/22/2005,MidWest,Rhonda,Solar and Wind Inc.,DAJ Item,"$2,132.93 ","$2,281.21 "
1/2/2005,MidWest,Jon,Amazon.com,OJA Item,"$2,437.66 ","$3,584.80 "
12/29/2004,MidWest,Jon,Peet's Coffee,ZCO Item,"$2,767.93 ","$3,145.38 "
11/17/2004,MidWest,Troung,Home Depot,HBN Item,"$3,404.20 ","$3,868.41 "
11/4/2004,MidWest,Jeri,Whole Foods,ZMB Item,"$1,445.41 ","$2,449.85 "
10/14/2004,MidWest,Rhonda,Peet's Coffee,ITT Item,"$2,317.30 ","$3,407.80 "
9/23/2004,MidWest,Sheliadawn,Yahoo,BVV Item,"$1,657.20 ","$2,857.24 "
8/28/2004,MidWest,Jon,McLendon's Hardware,EBS Item,"$1,901.45 ","$2,535.26 "
8/13/2004,MidWest,Steven,Solar and Wind Inc.,HMO Item,"$1,054.76 ","$2,452.94 "
8/9/2004,MidWest,Luke,Sherman Williams,ZEI Item,"$1,370.55 ","$2,491.91 "
8/6/2004,MidWest,Rhonda,Costco,UZM Item,"$1,254.29 ","$3,389.97 "
6/7/2006,MidWest,Chin,Peet's Coffee,UJZ Item,$304.81 ,$326.00 
5/30/2006,MidWest,Rhonda,Sherman Williams,BFS Item,"$1,138.10 ","$1,293.29 "
5/17/2006,MidWest,Sheliadawn,ExcelIsVeryFun.com,UBW Item,$436.86 ,"$1,180.71 "
2/20/2006,MidWest,Chin,ExcelIsVeryFun.com,IWG Item,"$1,201.33 ","$1,601.77 "
2/16/2006,MidWest,Jeri,Office Depot,UXT Item,$83.82 ,$95.25 
2/7/2006,MidWest,Luke,Office Depot,LVU Item,$297.94 ,$805.23 
2/5/2006,MidWest,Chin,ExcelIsVeryFun.com,OJW Item,$486.17 ,"$1,130.63 "
1/17/2006,MidWest,Sheliadawn,Yahoo,NNJ Item,$746.97 ,$798.90 
12/29/2005,MidWest,Luke,Peet's Coffee,NFY Item,$822.27 ,"$1,393.67 "
12/21/2005,MidWest,Jeri,Home Depot,CPG Item,$189.27 ,$511.55 
12/19/2005,MidWest,Luke,Solar and Wind Inc.,YJV Item,"$1,081.32 ","$1,966.03 "
11/22/2005,MidWest,Sheliadawn,Office Depot,JKP Item,"$1,014.32 ","$1,748.83 "
11/13/2005,MidWest,Sheliadawn,Solar and Wind Inc.,OSL Item,$176.19 ,$303.77 
11/9/2005,MidWest,Sheliadawn,ExcelIsVeryFun.com,WXM Item,$126.85 ,$144.15 
10/15/2005,MidWest,Troung,Costco,WIL Item,$815.21 ,"$1,381.71 "
10/9/2005,MidWest,Chin,Amazon.com,JQC Item,$373.67 ,$498.22 
